timestamp;log_type;message;stacktrace
0;Log; Number of scenes in build: 5;UnityEngine.Debug:Log (object).  AdditiveLoadManager:Start () (at Assets/AdditiveLoadManager.cs:40).  
0;Log; Currently loaded scenes: 5;UnityEngine.Debug:Log (object).  AdditiveLoadManager:Start () (at Assets/AdditiveLoadManager.cs:41).  
0,3533334;Log;New scene loaded WebsocketGameClient_LocalTesting index 4 mode Additive;UnityEngine.Debug:Log (object).  AdditiveLoadManager/<>c:<Start>b__2_2 (UnityEngine.SceneManagement.SceneUnityEngine.SceneManagement.LoadSceneMode) (at Assets/AdditiveLoadManager.cs:47).  UnityEngine.SceneManagement.SceneManager:Internal_SceneLoaded (UnityEngine.SceneManagement.SceneUnityEngine.SceneManagement.LoadSceneMode).  
0,3533334;Log;loading scene is done;UnityEngine.Debug:Log (object).  AdditiveLoadManager/<>c__DisplayClass2_0:<Start>b__1 (object[]) (at Assets/AdditiveLoadManager.cs:34).  coredamnwork.Executer/<Delayed>d__14:MoveNext () (at Assets/alreylz/Utils/Utils.cs:411).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0,3533334;Log;LATIN SQUARE : 
-----------------------------
[PPID1]      SIZE  SIZE_AND_AUDIO  SIZE_AND_VIBRATION_AND_AUDIO  SIZE_AND_VIBRATION 
[PPID2]      SIZE_AND_AUDIO  SIZE_AND_VIBRATION  SIZE  SIZE_AND_VIBRATION_AND_AUDIO 
[PPID3]      SIZE_AND_VIBRATION  SIZE_AND_VIBRATION_AND_AUDIO  SIZE_AND_AUDIO  SIZE 
[PPID4]      SIZE_AND_VIBRATION_AND_AUDIO  SIZE  SIZE_AND_VIBRATION  SIZE_AND_AUDIO ;UnityEngine.Debug:Log (object).  LatinSquare:GetLatinSquareFromNamedConditions (string[]) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/LatinSquare.cs:39).  ExperimentSetup:StartSession () (at Assets/Scripts/ExperimentSetup/ExperimentSetup.cs:233).  System.Reflection.MethodBase:Invoke (objectobject[]).  SubjectNerd.Utilities.ReorderableArrayInspector:DrawContextMenuButtons () (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:918).  SubjectNerd.Utilities.ReorderableArrayInspector:InspectorGUIStart (bool) (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:617).  SubjectNerd.Utilities.ReorderableArrayInspector:OnInspectorGUI () (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:632).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0,3533334;Log;LATIN SQUARE : 
-----------------------------
[PPID1]      SIZE  SIZE_AND_AUDIO  SIZE_AND_VIBRATION_AND_AUDIO  SIZE_AND_VIBRATION 
[PPID2]      SIZE_AND_AUDIO  SIZE_AND_VIBRATION  SIZE  SIZE_AND_VIBRATION_AND_AUDIO 
[PPID3]      SIZE_AND_VIBRATION  SIZE_AND_VIBRATION_AND_AUDIO  SIZE_AND_AUDIO  SIZE 
[PPID4]      SIZE_AND_VIBRATION_AND_AUDIO  SIZE  SIZE_AND_VIBRATION  SIZE_AND_AUDIO ;UnityEngine.Debug:Log (object).  LatinSquare:GetLatinSquareFromNamedConditions (string[]) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/LatinSquare.cs:39).  LatinSquare:GetLatinSquareFromNamedConditionsAsDict (string[]) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/LatinSquare.cs:54).  ExperimentSetup:StartSession () (at Assets/Scripts/ExperimentSetup/ExperimentSetup.cs:238).  System.Reflection.MethodBase:Invoke (objectobject[]).  SubjectNerd.Utilities.ReorderableArrayInspector:DrawContextMenuButtons () (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:918).  SubjectNerd.Utilities.ReorderableArrayInspector:InspectorGUIStart (bool) (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:617).  SubjectNerd.Utilities.ReorderableArrayInspector:OnInspectorGUI () (at Assets/UXF/Scripts/Etc/ReorderableInspector/Editor/ReorderableArrayInspector.cs:632).  UnityEngine.GUIUtility:ProcessEvent (intintptrbool&).  
0,3533334;Log;LATIN SQUARE : 
-----------------------------
[PPID1]      SIZE  SIZE_AND_AUDIO  SIZE_AND_VIBRATION_AND_AUDIO  SIZE_AND_VIBRATION 
[PPID2]      SIZE_AND_AUDIO  SIZE_AND_VIBRATION  SIZE  SIZE_AND_VIBRATION_AND_AUDIO 
